# t(1)   sumvx(2)   sumvy(3)   sumvz(4)    kenergy(5)   penergy(6)   energy(7)   red_temp(8)
0.06395 nan nan nan nan 9.94616e+13 nan nan
0.064 nan nan nan nan 2.68485e+12 nan nan
0.06405 nan nan nan nan 1.15073e+14 nan nan
0.0641 nan nan nan nan 3.59039e+10 nan nan
0.06415 nan nan nan nan 9.77504e+12 nan nan
0.0642 nan nan nan nan 1.12942e+14 nan nan
0.06425 nan nan nan nan 2.07487e+13 nan nan
0.0643 nan nan nan nan 1.33525e+12 nan nan
0.06435 nan nan nan nan 2.94915e+19 nan nan
0.0644 nan nan nan nan 4.20142e+14 nan nan
0.06445 nan nan nan nan 3.00034e+15 nan nan
0.0645 nan nan nan nan 9.93417e+12 nan nan
0.06455 nan nan nan nan 5.17293e+11 nan nan
0.0646 nan nan nan nan 7.74532e+13 nan nan
0.06465 nan nan nan nan 7.26179e+13 nan nan
0.0647 nan nan nan nan 2.93369e+12 nan nan
0.06475 nan nan nan nan 1.65009e+18 nan nan
0.0648 nan nan nan nan 1.52666e+14 nan nan
0.06485 nan nan nan nan 7.21652e+14 nan nan
0.0649 nan nan nan nan 3.77124e+14 nan nan
0.06495 nan nan nan nan 5.91811e+14 nan nan
0.065 nan nan nan nan 1.00504e+13 nan nan
0.06505 nan nan nan nan 1.74585e+16 nan nan
0.0651 nan nan nan nan 2.05542e+12 nan nan
0.06515 nan nan nan nan 8.17582e+14 nan nan
0.0652 nan nan nan nan 5.92166e+19 nan nan
0.06525 nan nan nan nan 1.9865e+14 nan nan
0.0653 nan nan nan nan 3.10271e+12 nan nan
0.06535 nan nan nan nan 3.90415e+14 nan nan
0.0654 nan nan nan nan 5.47991e+12 nan nan
0.06545 nan nan nan nan 1.06581e+14 nan nan
0.0655 nan nan nan nan 5.60268e+11 nan nan
0.06555 nan nan nan nan 3.01306e+20 nan nan
0.0656 nan nan nan nan 6.17951e+17 nan nan
0.06565 nan nan nan nan 2.42265e+13 nan nan
0.0657 nan nan nan nan 2.22899e+13 nan nan
0.06575 nan nan nan nan 6.8257e+13 nan nan
0.0658 nan nan nan nan 5.15817e+14 nan nan
0.06585 nan nan nan nan 9.06544e+11 nan nan
0.0659 nan nan nan nan 2.94226e+11 nan nan
0.06595 nan nan nan nan 7.85944e+15 nan nan
0.066 nan nan nan nan 2.74611e+12 nan nan
0.06605 nan nan nan nan 1.42207e+14 nan nan
0.0661 nan nan nan nan 1.03299e+15 nan nan
0.06615 nan nan nan nan 1.38552e+12 nan nan
0.0662 nan nan nan nan 1.05115e+12 nan nan
0.06625 nan nan nan nan 5.08468e+17 nan nan
0.0663 nan nan nan nan 1.61204e+15 nan nan
0.06635 nan nan nan nan 1.5507e+11 nan nan
0.0664 nan nan nan nan 1.23121e+12 nan nan
0.06645 nan nan nan nan 3.41665e+11 nan nan
0.0665 nan nan nan nan 7.74958e+13 nan nan
0.06655 nan nan nan nan 1.05686e+14 nan nan
0.0666 nan nan nan nan 1.08097e+17 nan nan
0.06665 nan nan nan nan 1.14111e+15 nan nan
0.0667 nan nan nan nan 1.95013e+11 nan nan
0.06675 nan nan nan nan 3.13631e+12 nan nan
0.0668 nan nan nan nan 1.04627e+19 nan nan
0.06685 nan nan nan nan 3.18954e+15 nan nan
0.0669 nan nan nan nan 9.5268e+11 nan nan
0.06695 nan nan nan nan 4.19904e+14 nan nan
0.067 nan nan nan nan 2.83384e+14 nan nan
0.06705 nan nan nan nan 2.7236e+14 nan nan
0.0671 nan nan nan nan 5.02189e+14 nan nan
0.06715 nan nan nan nan 8.60715e+14 nan nan
0.0672 nan nan nan nan 3.35676e+14 nan nan
0.06725 nan nan nan nan 2.14693e+11 nan nan
0.0673 nan nan nan nan 5.33486e+11 nan nan
0.06735 nan nan nan nan 5.05419e+18 nan nan
0.0674 nan nan nan nan 2.46197e+14 nan nan
0.06745 nan nan nan nan 9.76205e+12 nan nan
0.0675 nan nan nan nan 2.35754e+17 nan nan
