#    t(1)      varx(2)      vary(3)      varz(3)
2.6665 0.127844 0.144187 0.139428
2.667 0.127973 0.144605 0.139764
2.6675 0.128114 0.145027 0.140115
2.668 0.128266 0.145455 0.140481
2.6685 0.128431 0.145887 0.140865
2.669 0.128608 0.146321 0.141268
2.6695 0.128799 0.146757 0.141689
2.67 0.129003 0.147195 0.142129
2.6705 0.129224 0.147632 0.142586
2.671 0.12946 0.148068 0.14306
2.6715 0.129713 0.148502 0.14355
2.672 0.129983 0.148933 0.144053
2.6725 0.130272 0.14936 0.144568
2.673 0.130578 0.149783 0.145094
2.6735 0.130902 0.150203 0.145629
2.674 0.131244 0.15062 0.146172
2.6745 0.131603 0.151035 0.146721
2.675 0.131977 0.151449 0.147277
2.6755 0.132367 0.151864 0.147837
2.676 0.13277 0.15228 0.148401
2.6765 0.133187 0.1527 0.148969
2.677 0.133615 0.153124 0.149542
2.6775 0.134054 0.153554 0.150118
2.678 0.134502 0.153989 0.150699
2.6785 0.134958 0.154431 0.151286
2.679 0.13542 0.154879 0.15188
2.6795 0.135886 0.155335 0.152482
2.68 0.136355 0.155797 0.153092
2.6805 0.136825 0.156265 0.153712
2.681 0.137292 0.156741 0.154341
2.6815 0.137757 0.157222 0.15498
2.682 0.138216 0.15771 0.15563
2.6825 0.138668 0.158203 0.156289
2.683 0.139113 0.158702 0.156956
2.6835 0.13955 0.159205 0.157632
2.684 0.13998 0.159713 0.158316
2.6845 0.140403 0.160225 0.159006
2.685 0.140821 0.160739 0.159703
2.6855 0.141234 0.161257 0.160404
2.686 0.141644 0.161778 0.161111
2.6865 0.142053 0.162302 0.161821
2.687 0.14246 0.162828 0.162533
2.6875 0.142868 0.163357 0.163247
2.688 0.143277 0.163889 0.163963
2.6885 0.143687 0.164424 0.164678
2.689 0.144098 0.164962 0.165394
2.6895 0.144511 0.165503 0.166108
2.69 0.144925 0.166047 0.166821
2.6905 0.145341 0.166593 0.167532
2.691 0.145759 0.167139 0.16824
2.6915 0.146179 0.167685 0.168943
2.692 0.1466 0.16823 0.169641
2.6925 0.147023 0.168771 0.170329
2.693 0.147449 0.169309 0.171006
2.6935 0.147875 0.169841 0.171671
2.694 0.148301 0.170365 0.172321
2.6945 0.148725 0.170882 0.172956
2.695 0.149146 0.171391 0.173576
2.6955 0.149562 0.171891 0.174182
2.696 0.149972 0.172383 0.174775
2.6965 0.150375 0.172866 0.175357
2.697 0.150769 0.173341 0.17593
2.6975 0.151156 0.173808 0.176494
2.698 0.151535 0.174266 0.177052
2.6985 0.151907 0.174717 0.177604
2.699 0.152272 0.175161 0.178151
2.6995 0.152632 0.175597 0.178694
2.7 0.152987 0.176028 0.179233
2.7005 0.153341 0.176453 0.179771
2.701 0.153694 0.176875 0.180308
2.7015 0.154049 0.177292 0.180847
2.702 0.154409 0.177707 0.181389
2.7025 0.154775 0.178119 0.181936
2.703 0.155149 0.178528 0.182491
2.7035 0.155533 0.178936 0.183055
2.704 0.155927 0.179342 0.18363
2.7045 0.156332 0.179748 0.184216
2.705 0.15675 0.180152 0.184814
2.7055 0.157179 0.180556 0.185423
2.706 0.157618 0.18096 0.186042
2.7065 0.158069 0.181366 0.18667
2.707 0.15853 0.181772 0.187307
2.7075 0.159 0.18218 0.187949
2.708 0.159479 0.18259 0.188595
2.7085 0.159965 0.182999 0.189244
2.709 0.160459 0.183409 0.189893
2.7095 0.160959 0.183817 0.19054
